測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,sum
三義,2023/02/02 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/02/03 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/02/04 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/02/05 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.5,0,0,0,0.5,0,0,0.0,0.0,0.0,0,0,0.0,1.0
三義,2023/02/06 00:00:00,RAINFALL,0,0.0,0.0,0,0.5,0.0,0.0,0.5,10.0,0.5,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,12.0
三義,2023/02/07 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/02/08 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/02/09 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/02/10 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/02/11 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/02/12 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/02/13 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/02/14 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/02/15 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/02/16 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/02/17 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
三義,2023/02/18 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
